English (en),Finnish (fi),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aback,taaksepäin,0,0,0,0,0,0,0,0,0,0
abacus,abacus,0,0,0,0,0,0,0,0,0,1
abandon,luopua,0,1,0,0,0,1,0,1,0,0
abandoned,hylätty,0,1,1,0,0,1,0,1,0,0
abandonment,hylkääminen,0,1,1,0,0,1,0,1,1,0
abate,tyyntyä,0,0,0,0,0,0,0,0,0,0
abatement,vähennys,0,0,0,0,0,0,0,0,0,0
abba,Abba,1,0,0,0,0,0,0,0,0,0
abbot,apotti,0,0,0,0,0,0,0,0,0,1
abbreviate,lyhentää,0,0,0,0,0,0,0,0,0,0
abbreviation,lyhenne,0,0,0,0,0,0,0,0,0,0
abdomen,vatsa,0,0,0,0,0,0,0,0,0,0
abdominal,vatsan-,0,0,0,0,0,0,0,0,0,0
abduction,sieppaus,0,1,0,0,0,1,0,1,1,0
aberrant,poikkeuksellinen,0,1,0,0,0,0,0,0,0,0
aberration,poikkeama,0,1,0,0,1,0,0,0,0,0
abeyance,ratkaisun viipyminen,0,0,0,0,0,0,0,0,0,0
abhor,inhota,0,1,1,0,1,1,0,0,0,0
abhorrent,vastenmielinen,0,1,1,0,1,1,0,0,0,0
abide,asua,0,0,0,0,0,0,0,0,0,0
ability,kyky,1,0,0,0,0,0,0,0,0,0
abject,viheliäinen,0,1,0,0,1,0,0,0,0,0
ablation,ablaatio,0,0,0,0,0,0,0,0,0,0
ablaze,ilmiliekeissä,0,0,0,0,0,0,0,0,0,0
abnormal,poikkeava,0,1,0,0,1,0,0,0,0,0
aboard,laivaan,0,0,0,0,0,0,0,0,0,0
abode,asunto,0,0,0,0,0,0,0,0,0,0
abolish,poistaa,0,1,1,0,0,0,0,0,0,0
abolition,poistaminen,0,1,0,0,0,0,0,0,0,0
abominable,iljettävä,0,1,0,0,1,1,0,0,0,0
abomination,inhottavuus,0,1,1,0,1,1,0,0,0,0
aboriginal,alku-,0,0,0,0,0,0,0,0,0,0
abort,keskeyttää,0,1,0,0,0,0,0,0,0,0
abortion,abortti,0,1,0,0,1,1,0,1,0,0
abortive,epäonnistunut,0,1,0,0,0,0,0,1,0,0
abound,runsaasti,0,0,0,0,0,0,0,0,0,0
abovementioned,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
abrasion,hiertymä,0,1,0,0,0,0,0,0,0,0
abroad,ulkomailla,0,0,0,0,0,0,0,0,0,0
abrogate,kumota,0,1,0,0,0,0,0,0,0,0
abrupt,äkillinen,0,0,0,0,0,0,0,0,1,0
abruptly,yhtäkkiä,0,0,0,0,0,0,0,0,0,0
abscess,paise,0,1,0,0,0,0,0,1,0,0
absence,poissaolo,0,1,0,0,0,1,0,1,0,0
absent,poissa,0,1,0,0,0,0,0,1,0,0
absentee,poissaolija,0,1,0,0,0,0,0,1,0,0
absenteeism,poissaolot,0,1,0,0,0,0,0,0,0,0
absinthe,absintti,0,0,0,0,0,0,0,0,0,0
absolute,absoluuttinen,1,0,0,0,0,0,0,0,0,0
absolution,synninpäästö,1,0,0,0,0,0,1,0,0,1
absorbed,imeytyy,1,0,0,0,0,0,0,0,0,0
absorbent,imukykyinen,0,0,0,0,0,0,0,0,0,0
absorbing,imevää,0,0,0,0,0,0,0,0,0,0
absorption,imeytyminen,0,0,0,0,0,0,0,0,0,0
abstain,pidättyä,0,0,0,0,0,0,0,0,0,0
abstention,tyhjää,0,0,0,0,0,0,0,0,0,0
abstinence,pidättyvyys,0,0,0,0,0,0,0,0,0,0
abstract,abstrakti,0,0,0,0,0,0,0,0,0,0
abstraction,abstraktio,0,0,0,0,0,0,0,0,0,0
absurd,järjetön,0,1,0,0,0,0,0,0,0,0
absurdity,järjettömyys,0,1,0,0,0,0,0,0,0,0
abundance,yltäkylläisyys,1,1,0,1,1,0,1,0,0,1
abundant,runsas,1,0,0,0,0,0,1,0,0,0
abuse,väärinkäyttö,0,1,1,0,1,1,0,1,0,0
abutment,rajoittuminen,0,0,0,0,0,0,0,0,0,0
aby,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
abysmal,pohjaton,0,1,0,0,0,0,0,1,0,0
abyss,syvyys,0,1,0,0,0,1,0,1,0,0
academic,akateeminen,1,0,0,0,0,0,0,0,0,1
academy,akatemia,1,0,0,0,0,0,0,0,0,0
accede,liittymään,0,0,0,0,0,0,0,0,0,0
accelerate,kiihdyttää,0,0,0,1,0,0,0,0,0,0
acceleration,kiihtyvyys,0,0,0,0,0,0,0,0,0,0
accent,aksentti,0,0,0,0,0,0,0,0,0,0
accentuate,painottaa,0,0,0,0,0,0,0,0,0,0
accept,hyväksyä,0,0,0,0,0,0,0,0,0,0
acceptable,hyväksyttävä,1,0,0,0,0,0,0,0,0,0
acceptance,hyväksyminen,1,0,0,0,0,0,0,0,0,0
access,pääsy,0,0,0,0,0,0,0,0,0,0
accessible,saatavilla,1,0,0,0,0,0,0,0,0,0
accession,liittymistä,0,0,0,0,0,0,0,0,0,0
accessory,lisävaruste,0,0,0,0,0,0,0,0,0,0
accident,onnettomuus,0,1,0,0,0,1,0,1,1,0
accidental,satunnainen,0,1,0,0,0,1,0,0,1,0
accidentally,vahingossa,0,0,0,0,0,0,0,0,1,0
accolade,kunnianosoitus,1,0,0,1,0,0,1,0,1,1
accommodate,majoittaa,0,0,0,0,0,0,0,0,0,0
accommodation,majoitus,1,0,0,0,0,0,0,0,0,0
accompaniment,säestys,1,0,0,1,0,0,1,0,0,1
accompany,seurata,0,0,0,0,0,0,0,0,0,0
accompanying,mukana,0,0,0,0,0,0,0,0,0,0
accomplice,rikoskumppani,0,0,0,0,0,0,0,0,0,0
accomplish,suorittaa,1,0,0,0,0,0,1,0,0,0
accomplished,aikaan,1,0,0,0,0,0,1,0,0,0
accomplishment,suoritus,1,0,0,0,0,0,0,0,0,0
accord,sopimus,1,0,0,0,0,0,0,0,0,1
accordance,mukaisesti,0,0,0,0,0,0,0,0,0,0
accordion,harmonikka,0,0,0,0,0,0,0,0,0,0
account,tili,0,0,0,0,0,0,0,0,0,1
accountability,vastuullisuutta,1,0,0,0,0,0,0,0,0,1
accountable,vastuussa,1,0,0,0,0,0,0,0,0,1
accountant,kirjanpitäjä,0,0,0,0,0,0,0,0,0,1
accounting,kirjanpito,0,0,0,0,0,0,0,0,0,0
accounts,tilit,0,0,0,0,0,0,0,0,0,1
accredited,valtuutettu,1,0,0,0,0,0,0,0,0,1
accretion,vesijättö,0,0,0,0,0,0,0,0,0,0
accrue,kertyä,0,0,0,0,0,0,0,0,0,0
accueil,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
accumulate,kerätä,0,0,0,0,0,0,0,0,0,0
accumulation,kertymä,0,0,0,0,0,0,0,0,0,0
accuracy,tarkkuus,0,0,0,0,0,0,0,0,0,0
accurate,tarkka,1,0,0,0,0,0,0,0,0,1
accursed,kirottu,0,1,1,0,0,1,0,1,0,0
accusation,syytös,0,1,1,0,1,0,0,0,0,0
accusative,akkusatiivi,0,1,0,0,0,0,0,0,0,0
accused,syytetty,0,1,1,0,0,1,0,0,0,0
accuser,syyttäjä,0,1,1,0,0,1,0,0,0,0
accusing,syyttäen,0,1,1,0,0,1,0,0,0,0
accustomed,tottunut,0,0,0,0,0,0,0,0,0,0
ace,ässä,1,0,0,0,0,0,0,0,0,0
acetic,etikka-,0,0,0,0,0,0,0,0,0,0
ache,särky,0,1,0,0,0,0,0,1,0,0
achieve,saavuttaa,1,0,0,0,0,0,1,0,0,1
achievement,saavutus,1,0,0,1,0,0,1,0,0,1
aching,kipeä,0,1,0,0,0,0,0,1,0,0
acid,happo,0,1,0,0,0,0,0,0,0,0
acidity,happamuus,0,0,0,0,0,0,0,0,0,0
acknowledge,tunnustaa,0,0,0,0,0,0,0,0,0,0
acknowledged,tunnustettu,0,0,0,0,0,0,0,0,0,0
acknowledgment,tunnustus,1,0,0,0,0,0,0,0,0,0
acme,huippukohta,0,0,0,0,0,0,0,0,0,0
acoustic,akustinen,0,0,0,0,0,0,0,0,0,0
acoustics,akustiikka,0,0,0,0,0,0,0,0,0,0
acquaint,tutustuttaa,0,0,0,0,0,0,0,0,0,0
acquaintance,tuttavuus,0,0,0,0,0,0,0,0,0,0
acquainted,tutustunut,0,0,0,0,0,0,0,0,0,0
acquiescence,suostumus,0,0,0,0,0,0,0,0,0,0
acquire,hankkia,1,0,0,0,0,0,0,0,0,0
acquiring,hankkiminen,1,0,0,1,0,0,0,0,0,0
acquisition,hankinta,0,0,0,0,0,0,0,0,0,0
acquisitions,yritysostot,0,0,0,0,0,0,0,0,0,0
acreage,pinta-ala,0,0,0,0,0,0,0,0,0,0
acres,eekkeriä,0,0,0,0,0,0,0,0,0,0
acrobat,akrobaatti,1,0,0,0,0,1,1,0,0,1
act,toimia,0,0,0,0,0,0,0,0,0,0
acting,näytteleminen,0,0,0,0,0,0,0,0,0,0
action,toiminta,1,0,0,0,0,0,0,0,0,0
actionable,kannekelpoinen,0,1,1,0,1,0,0,0,0,0
active,aktiivinen,0,0,0,0,0,0,0,0,0,0
activity,aktiviteetti,0,0,0,0,0,0,0,0,0,0
actor,näyttelijä,0,0,0,0,0,0,0,0,0,0
actual,todellinen,1,0,0,0,0,0,0,0,0,0
actuality,todellisuus,0,0,0,0,0,0,0,0,0,0
actuary,aktuaari,0,0,0,0,0,0,0,0,0,0
acuity,terävyys,1,0,0,0,0,0,0,0,0,0
acumen,terävyys,1,0,0,0,0,0,0,0,0,0
acupuncture,akupunktio,0,0,0,0,0,0,0,0,0,0
acutely,akuutisti,0,0,0,0,0,0,0,0,0,0
adage,sananparsi,0,0,0,0,0,0,0,0,0,0
adamant,järkkymätön,0,0,0,0,0,0,0,0,0,0
adapt,sopeuttaa,1,0,0,0,0,0,0,0,0,0
adaptable,mukautuva,1,0,0,0,0,0,0,0,0,0
add,lisätä,0,0,0,0,0,0,0,0,0,0
added,lisättyä,0,0,0,0,0,0,0,0,0,0
addendum,lisäys,0,0,0,0,0,0,0,0,0,0
adder,kyykäärme,0,1,1,0,1,1,0,1,0,0
addiction,riippuvuus,0,1,0,0,0,0,0,0,0,0
addition,lisäys,0,0,0,0,0,0,0,0,0,0
additional,lisä-,0,0,0,0,0,0,0,0,0,0
additive,lisäaine,0,0,0,0,0,0,0,0,0,0
address,osoite,0,0,0,0,0,0,0,0,0,0
addressee,vastaanottaja,0,0,0,0,0,0,0,0,0,0
addresses,osoitteet,1,0,0,1,0,0,0,0,0,0
adept,mestari,1,0,0,0,0,0,0,0,0,0
adequacy,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
adequate,riittävä,0,0,0,0,0,0,0,0,0,0
adhere,noudattaa,0,0,0,0,0,0,0,0,0,0
adherence,kiinnittyminen,0,0,0,0,0,0,0,0,0,0
adherent,kannattaja,0,0,0,0,0,0,0,0,0,0
adhering,kiinni,0,0,0,0,0,0,0,0,0,1
adhesion,kiinnittyminen,0,0,0,0,0,0,0,0,0,0
adhesive,tarttuva,0,0,0,0,0,0,0,0,0,0
adieu,hyvästi,0,0,0,0,0,0,0,0,0,0
adipose,rasva-,0,1,0,0,0,0,0,0,0,0
adjacency,läheisyytensä,0,0,0,0,0,0,0,0,0,0
adjacent,vierekkäinen,0,0,0,0,0,0,0,0,0,0
adjective,adjektiivi,0,0,0,0,0,0,0,0,0,0
adjoining,viereinen,0,0,0,0,0,0,0,0,0,0
adjourn,lykätä,0,0,0,0,0,0,0,0,0,0
adjournment,hajaantuminen,0,0,0,0,0,0,0,0,0,0
adjudicate,ratkaista,0,1,0,0,0,1,0,0,0,0
adjudication,tuomio,0,0,0,0,0,0,0,0,0,0
